anomaly_score;number_of_requests;weekday_id;dateminute
0,989769089164;20102;6;201901060441
0,721940588869;37930;1;201812250732
0,70094092124;29912;6;201812300539
0,796649171251;163345;3;201812270903
0,885598188081;94904;6;201812301840
0,912532858682;34194;1;201901010316
0,957717845515;223167;5;201812221629
0,72121280953;53453;6;201812232153
1,02446011055;147839;4;201812211906
0,96480602366;138801;6;201901061711
0,787510728993;106242;1;201812251701
0,801068128874;167817;6;201812301617
0,816508803236;204394;4;201901041138
0,991206034537;206532;0;201901071813
0,808446346895;79329;5;201812290724
0,954277229369;95324;3;201901031929
1,05951061073;218262;0;201901070821
0,88298769844;200758;0;201812241315
1,24582873869;114784;1;201901080547
0,817693440529;191301;3;201901031304
0,929516039668;225581;4;201812281142
0,724069926643;34342;6;201812300120
0,860136534621;216066;5;201901051042
0,781406406144;31129;6;201901060647
0,92730400152;25364;1;201901012338
0,812071284833;32737;3;201901030045
0,938250018051;181700;0;201812310952
0,770982449076;153603;0;201812241617
0,786261133794;28485;3;201901030112
0,901343079379;30515;1;201901010403
0,817340672063;201969;3;201901031401
0,756621858379;32210;5;201901050132
0,718226344189;32775;4;201812280418
0,799433234199;32419;4;201901040415
0,852850835178;160941;5;201901051741
0,809082307706;63335;5;201901052102
0,829556404901;199599;6;201812231219
0,755132480816;118135;1;201812251423
0,824044610417;162659;6;201901061209
0,750885051243;21672;1;201812250450
0,848044632506;38608;1;201901012251
0,739772696697;59265;3;201812272132
1,24210167216;98514;1;201901080535
0,926082952786;209723;4;201812281003
0,939573390706;192850;6;201812301348
1,05391611963;248378;5;201812221353
0,813453575077;173594;3;201901031020
0,737489696061;182311;0;201812241438
0,868813381702;119324;6;201812301743
0,815533980674;53100;6;201812302101
0,807455785508;193855;6;201812231325
0,764632399573;47154;6;201812230012
0,866064118105;69570;2;201901022016
1,10104238125;244119;4;201901041709
0,78427026242;49832;5;201901052317
0,806571407105;181050;6;201812301225
0,686887768459;57222;0;201812242119
0,708072590871;29757;2;201812260144
0,789848436111;58212;5;201812222243
