id;value;weekday_string;weekday
2018-12-21_23-43;56604;Freitag;4
2018-12-21_23-44;63249;Freitag;4
2018-12-21_23-45;57840;Freitag;4
2018-12-21_23-46;58496;Freitag;4
2018-12-21_23-47;59994;Freitag;4
2018-12-21_23-48;57079;Freitag;4
2018-12-21_23-49;54913;Freitag;4
2018-12-21_23-50;63256;Freitag;4
2018-12-21_23-51;55102;Freitag;4
2018-12-21_23-52;55990;Freitag;4
2018-12-21_23-53;56962;Freitag;4
2018-12-21_23-54;55378;Freitag;4
2018-12-21_23-55;60892;Freitag;4
2018-12-21_23-56;54573;Freitag;4
2018-12-21_23-57;54380;Freitag;4
2018-12-21_23-58;57043;Freitag;4
2018-12-21_23-59;55797;Freitag;4
2018-12-22_00-00;52740;Samstag;5
2018-12-22_00-01;59176;Samstag;5
2018-12-22_00-02;54146;Samstag;5
2018-12-22_00-03;54248;Samstag;5
2018-12-22_00-04;55977;Samstag;5
2018-12-22_00-05;55829;Samstag;5
2018-12-22_00-06;54238;Samstag;5
2018-12-22_00-07;55793;Samstag;5
2018-12-22_00-08;53017;Samstag;5
2018-12-22_00-09;54754;Samstag;5
2018-12-22_00-10;52856;Samstag;5
2018-12-22_00-11;53329;Samstag;5
2018-12-22_00-12;51248;Samstag;5
2018-12-22_00-13;54910;Samstag;5
2018-12-22_00-14;51740;Samstag;5
2018-12-22_00-15;53155;Samstag;5
2018-12-22_00-16;52737;Samstag;5
2018-12-22_00-17;52261;Samstag;5
2018-12-22_00-18;51373;Samstag;5
2018-12-22_00-19;51237;Samstag;5
2018-12-22_00-20;52021;Samstag;5
2018-12-22_00-21;52774;Samstag;5
2018-12-22_00-22;48662;Samstag;5
2018-12-22_00-23;50658;Samstag;5
2018-12-22_00-24;52257;Samstag;5
2018-12-22_00-25;48951;Samstag;5
2018-12-22_00-26;51362;Samstag;5
2018-12-22_00-27;49401;Samstag;5
2018-12-22_00-28;50456;Samstag;5
2018-12-22_00-29;48115;Samstag;5
2018-12-22_00-30;49116;Samstag;5
2018-12-22_00-31;49120;Samstag;5
2018-12-22_00-32;48631;Samstag;5
2018-12-22_00-33;48389;Samstag;5
2018-12-22_00-34;48341;Samstag;5
2018-12-22_00-35;49976;Samstag;5
2018-12-22_00-36;47208;Samstag;5
